register,value,group,meaning
0x484b,0x27,MIPI TX PHY/timing (unknown detail),unknown
0x4d00,0x4e,OTP/PDAF-related (unknown detail),unknown
0x4d01,0x0c,OTP/PDAF-related (unknown detail),unknown
0x4d02,0xb8,OTP/PDAF-related (unknown detail),unknown
0x4d03,0xea,OTP/PDAF-related (unknown detail),unknown
0x4d04,0x74,OTP/PDAF-related (unknown detail),unknown
0x4d05,0xb7,OTP/PDAF-related (unknown detail),unknown
0x4d09,0x4f,OTP/PDAF-related (unknown detail),unknown
0x5000,0x1f,DPC/LENC/digital (unknown detail),unknown
0x5080,0x00,DPC/LENC/digital (unknown detail),unknown
0x50c0,0x00,DPC/LENC/digital (unknown detail),unknown
0x5100,0x00,DPC/LENC/digital (unknown detail),unknown
0x5200,0x00,DPC/LENC/digital (unknown detail),unknown
0x5201,0x70,DPC/LENC/digital (unknown detail),unknown
0x5202,0x03,DPC/LENC/digital (unknown detail),unknown
0x5203,0x7f,DPC/LENC/digital (unknown detail),unknown
0x5780,0x53,AWB/digital gain related (unknown detail),unknown
0x5786,0x01,AWB/digital gain related (unknown detail),unknown
0x3501,0x04,core,exposure[15:8] (coarse integration time; high byte)
0x382a,0x08,unknown,unknown
0x0303,0x05,unknown,unknown
0x3502,0xda,core,exposure[7:0] (coarse integration time; low byte)
0x0100,0x01,core,mode_select (0=standby; 1=streaming)
